epoch,train_loss,val_loss,val_mae_deg,lr
1,0.004771224386058748,0.0018457416715100409,0.21134389114379884,0.0009997557473810372
2,0.0012703038793988525,0.0005849984816741198,0.11939802551269531,0.0009990232305719946
3,0.0014505955437198281,0.005285596791654825,0.42061911010742187,0.0009978031724785247
4,0.0010810655797831713,0.0009279615143314004,0.14422065639495849,0.0009960967771506667
5,0.0010250128172338009,0.0009680472929030657,0.15225319290161132,0.0009939057285945933
6,0.0010098266033455728,0.0009841141365468501,0.1443132667541504,0.0009912321891107012
7,0.0009694762658327818,0.0013848106618970632,0.1875681324005127,0.0009880787971596802
8,0.001007164854556322,0.001809898564592004,0.20588552284240721,0.0009844486647586726
9,0.0009366055219434202,0.0005805418146774173,0.11473968601226807,0.000980345374410087
10,0.0009265077728778123,0.000728421235922724,0.12669302654266357,0.0009757729755661012
11,0.0008297241823747754,0.0005492334498558194,0.1178031873703003,0.0009707359806323418
12,0.0008658754783682526,0.0005864104719366879,0.11917860794067382,0.0009652393605146846
13,0.0008030882612802088,0.0004931995305232703,0.10800938987731934,0.0009592885397135708
14,0.0008933696104213595,0.0006566587015986443,0.12591844749450684,0.0009528893909706799
15,0.0008092177342623472,0.0006876076185144484,0.12576644229888917,0.0009460482294732424
16,0.0012794997552409769,0.0008303762460127472,0.14221039199829102,0.0009387718066217127
17,0.0009142808578908444,0.000531401343876496,0.11433976078033448,0.0009310673033669524
18,0.0009766912320628763,0.0005280610600020736,0.11436768817901612,0.0009229423231234977
19,0.0008658814239315689,0.0005246915291063488,0.11129724502563476,0.0009144048842659084
20,0.0008055972820147872,0.0006684794160537422,0.12441293430328369,0.0009054634122155993
21,0.0007885461244732142,0.0005235927803441882,0.11070822811126708,0.000896126731125967
22,0.0007326758643612266,0.0006332620740868151,0.12522891616821288,0.000886404055174016
23,0.0007352967238985003,0.0005086428639478982,0.11107554531097412,0.0008763049794670778
24,0.0007726066634058952,0.0004828433559741825,0.10809014892578125,0.000865839470573599
25,0.0007224457277916372,0.0005006680528167636,0.10907274341583252,0.0008550178566873413
26,0.0007109160479158163,0.0005533058911096305,0.1142187786102295,0.0008438508174347012
27,0.0007360764257609844,0.000768662472255528,0.12906914615631104,0.000832349373335208
28,0.0007101333474274725,0.0007617614809423685,0.13087631797790528,0.0008205248749256018
29,0.0009288429659791291,0.0005553336185403168,0.11424505233764648,0.0008083889915582238
30,0.0007452830453403294,0.00047421794408001005,0.10606144714355469,0.0007959536998847747
31,0.0008070269501768053,0.0004821905866265297,0.10604386520385742,0.0007832312720368051
32,0.0007250691894441843,0.0005587646341882646,0.11306206607818603,0.0007702342635146037
33,0.0006787641309201717,0.0005344971725717187,0.11038562393188477,0.0007569755007964342
34,0.0006896479721181095,0.000483464241726324,0.10693633460998535,0.0007434680686803494
35,0.0006770916269160807,0.0005066412484738975,0.11362656879425048,0.0007297252973710761
36,0.0006878514937125146,0.0004698642380535603,0.10346929550170898,0.0007157607493247114
37,0.0006419780002906918,0.0004588922681286931,0.10591312599182129,0.0007015882058642168
38,0.0006450742408633232,0.0005318238900508731,0.11023447704315185,0.0006872216535789162
39,0.0006601118086837232,0.000570272182347253,0.11286132717132569,0.0006726752705214198
40,0.0006539046936668456,0.0005273327275644988,0.10959138202667236,0.0006579634122155995
41,0.0006927134916186332,0.0005055441649165004,0.10600074005126953,0.000643100597489419
42,0.0006272781086154282,0.00045881309174001215,0.10177085304260254,0.0006281014941466035
43,0.0006683161649852991,0.0005516388537362218,0.11530173397064208,0.000612980904491289
44,0.0006855508489534258,0.0004784258883446455,0.10651939296722412,0.0005977537507199342
45,0.000618998683989048,0.00048367278161458673,0.10657164096832275,0.0005824350601949147
46,0.0006544924904592336,0.0005327172232791782,0.11149085807800294,0.000567039950614331
47,0.0006563233248889446,0.0004482120950706303,0.10516090393066406,0.0005515836150926649
48,0.0006517794271931052,0.00045451006363146006,0.10306604099273682,0.0005360813071670105
49,0.0006574387070722878,0.0005623171795159579,0.11429730129241944,0.0005205483257436738
50,0.0006662854608148336,0.00045005805301479994,0.10201951599121094,0.0005050000000000002
51,0.0005981536032631993,0.00048637118842452764,0.10704369449615478,0.0004894516742563267
52,0.0006064721182920038,0.0004385565579868853,0.1004406156539917,0.0004739186928329901
53,0.0006171043715439737,0.0005060383009258658,0.10893324565887451,0.00045841638490733556
54,0.0006112608890980482,0.00042470165807753803,0.09816621732711792,0.0004429600493856696
55,0.0006207675435580313,0.0004592523060273379,0.10283305263519286,0.0004275649398050859
56,0.0005996681805700064,0.0006826935946010053,0.12202933883666991,0.0004122462492800665
57,0.000687890535686165,0.0004336002226918936,0.09996722602844238,0.00039701909550871175
58,0.00059640340693295,0.00046334803220815957,0.10218016147613525,0.000381898505853397
59,0.0006172253377735615,0.00047818640456534923,0.10508141422271729,0.00036689940251058173
60,0.0006047830688767135,0.0004396867530886084,0.10013007259368896,0.00035203658778440135
61,0.0006033425289206207,0.00043547736993059514,0.10274288654327393,0.00033732472947858096
62,0.0006149456182029099,0.0004348986567929387,0.09993268871307373,0.0003227783464210847
63,0.0005856968322768808,0.0004327255920507014,0.10019081783294678,0.0003084117941357837
64,0.0005965353311039507,0.0004346072752960026,0.10003991985321045,0.0002942392506752892
65,0.0006209839168004692,0.0005228958362713456,0.10839372634887695,0.0002802747026289245
66,0.0006064691767096519,0.000472092246171087,0.1072267017364502,0.000266531931319651
67,0.0005788418059237302,0.0004415670307353139,0.10092029666900634,0.0002530244992035663
68,0.0005514296810142696,0.0004963611303828657,0.10613042163848876,0.00023976573648539667
69,0.0005979228764772416,0.00042543409299105407,0.10005151462554931,0.00022676872796319544
